Price,Close,High,Low,Open,Volume
Ticker,C,C,C,C,C
Date,,,,,
2015-10-14,38.077880859375,38.453254281525396,37.82262681775786,38.34064110933151,22288000
2015-10-15,39.767066955566406,39.924723128124086,38.378183376333325,38.911215888684886,31023100
2015-10-16,39.55683898925781,40.05984072165866,39.46675019534688,40.044825445361646,17569200
2015-10-19,39.684486389160156,39.92472519708973,39.2865914005029,39.30911289378614,13616200
2015-10-20,39.669456481933594,39.93972575719043,39.4892760104719,39.68447175987802,11195800
2015-10-21,38.896183013916016,39.909689794963725,38.88116773800562,39.78206424553195,15577800
2015-10-22,39.42171096801758,39.69198025888079,39.151444541025974,39.17396602730737,22320500
2015-10-23,40.27006530761719,40.292586799324496,39.75205095124307,39.78958772537934,19927100
2015-10-26,39.872161865234375,40.23251997525772,39.60189256674894,39.96225067677229,14530700
2015-10-27,39.496788024902344,39.72201148311081,39.21901252190762,39.57186155634795,13232400
2015-10-28,41.08835983276367,41.26103120188152,39.57185140292366,39.684464535069225,23403900
2015-10-29,40.321903228759766,41.373910798777075,40.29184521441869,40.95310719747215,23153900
2015-10-30,39.95370864868164,40.44214145817029,39.773366255309995,40.389541354562674,18430200
2015-11-02,40.44965362548828,40.61496699291806,40.08145006807255,40.16410818503263,11999700
2015-11-03,40.6976203918457,40.87044967704888,40.216703621455984,40.24676163622786,13518300
2015-11-04,40.44965362548828,40.95311253207733,40.321908481143495,40.85542540598901,16985200
2015-11-05,40.69011688232422,40.877975219054264,40.389542396959854,40.41208448009042,13632500
2015-11-06,41.982566833496094,42.4259124807368,41.69702431706228,41.90742466948505,21654400
2015-11-09,41.86235427856445,42.22304196876129,41.381437358302016,42.02015460555852,19921800
2015-11-10,41.92997360229492,42.20800309439036,41.32882759243036,41.727086286498704,17657400
2015-11-11,41.25368118286133,42.18545668591417,41.163507140767194,42.17042767889848,15834000
2015-11-12,40.1716194152832,40.96813966363263,40.16410634430861,40.96813966363263,17735000
2015-11-13,39.95370864868164,40.261799064798645,39.57799198491827,39.95370864868164,16828800
2015-11-16,40.34444808959961,40.34444808959961,39.44273052907893,39.79590218923645,14896600
2015-11-17,40.19416809082031,40.74271405055396,39.99879382946884,40.494739688028744,14845300
2015-11-18,41.31380081176758,41.35137190194325,40.3970513057309,40.46468041464328,19100300
2015-11-19,41.3739128112793,41.55425517311786,41.133454417834436,41.238654606655295,11997500
2015-11-20,41.140968322753906,41.60685611118884,40.99068110718096,41.60685611118884,14896000
2015-11-23,40.78779602050781,41.20859967376269,40.69011176157484,41.08085453028748,14547100
